iter	Passed	Remaining
0	18	3769
1	29	2898
2	41	2720
3	53	2624
4	63	2489
5	75	2430
6	86	2396
7	98	2365
8	110	2350
9	122	2332
10	134	2315
11	145	2274
12	156	2256
13	167	2228
14	179	2217
15	191	2203
16	203	2190
17	214	2165
18	226	2154
19	237	2137
20	248	2120
21	261	2112
22	273	2102
23	284	2089
24	296	2076
25	308	2063
26	320	2051
27	331	2037
28	343	2025
29	355	2012
30	367	2004
31	378	1988
32	391	1978
33	403	1971
34	415	1960
35	427	1947
36	439	1936
37	452	1928
38	464	1917
39	476	1906
40	490	1902
41	502	1890
42	515	1880
43	527	1871
44	541	1864
45	553	1854
46	574	1870
47	585	1855
48	597	1841
49	609	1829
50	621	1816
51	632	1800
52	644	1787
53	655	1772
54	665	1755
55	676	1739
56	686	1721
57	696	1706
58	706	1687
59	715	1670
60	726	1654
61	736	1638
62	746	1622
63	756	1607
64	767	1594
65	777	1578
66	787	1563
67	797	1547
68	807	1532
69	816	1516
70	825	1500
71	834	1484
72	844	1468
73	855	1456
74	865	1441
75	875	1427
76	884	1412
77	893	1398
78	904	1385
79	915	1372
80	924	1358
81	933	1343
82	943	1329
83	953	1317
84	964	1304
85	974	1291
86	984	1278
87	994	1265
88	1004	1253
89	1016	1242
90	1028	1232
91	1040	1221
92	1050	1208
93	1061	1196
94	1071	1184
95	1080	1171
96	1090	1157
97	1100	1145
98	1111	1133
99	1121	1121
100	1131	1108
101	1140	1095
102	1149	1082
103	1159	1070
104	1170	1058
105	1179	1046
106	1189	1034
107	1198	1021
108	1209	1009
109	1219	997
110	1228	984
111	1238	972
112	1246	959
113	1256	947
114	1265	935
115	1274	923
116	1284	911
117	1293	899
118	1304	887
119	1314	876
120	1323	864
121	1334	852
122	1343	840
123	1352	829
124	1363	817
125	1373	806
126	1382	794
127	1393	783
128	1403	772
129	1413	760
130	1423	749
131	1433	738
132	1444	727
133	1454	716
134	1464	705
135	1474	693
136	1484	682
137	1493	670
138	1504	660
139	1513	648
140	1524	637
141	1535	627
142	1546	616
143	1556	605
144	1565	593
145	1575	582
146	1586	571
147	1596	560
148	1608	550
149	1624	541
150	1634	530
151	1644	519
152	1655	508
153	1664	497
154	1674	486
155	1683	474
156	1692	463
157	1702	452
158	1712	441
159	1724	431
160	1733	420
161	1743	409
162	1752	397
163	1761	386
164	1771	375
165	1781	364
166	1791	353
167	1800	343
168	1811	332
169	1821	321
170	1830	310
171	1840	299
172	1850	288
173	1861	278
174	1871	267
175	1881	256
176	1892	245
177	1904	235
178	1916	224
179	1927	214
180	1937	203
181	1948	192
182	1960	182
183	1971	171
184	1982	160
185	1994	150
186	2006	139
187	2018	128
188	2029	118
189	2039	107
190	2050	96
191	2060	85
192	2070	75
193	2081	64
194	2089	53
195	2099	42
196	2109	32
197	2119	21
198	2130	10
199	2141	0
