feature,mean_abs_shap
EDA_tonic_max,0.9694149700089949
EDA_tonic_mean,0.7405331524006301
EDA_tonic_min,0.7189667428424904
Resp_max,0.31221014956262816
EDA_phasic_min,0.27813343478795427
Resp_std,0.24586879806838494
EDA_smna_mean,0.1033032986124015
EDA_phasic_mean,0.08705225245775466
EDA_min,0.06851161993053816
EDA_phasic_max,0.06819996163528161
TEMP_mean,0.06019415520347704
TEMP_slope,0.05898407548011016
z_phasic_amp,0.05518282390945367
EDA_smna_std,0.040873310349400026
z_spike_proxy,0.03847795711431779
net_acc_max,0.03847378028552293
BVP_peak_freq,0.025277995477237063
ACC_x_std,0.02285977298938275
Resp_min,0.018025047848764082
TEMP_max,0.01687132769398867
net_acc_std,0.012549981130604902
ACC_z_std,0.012453111532236662
RS,0.012120043882584409
EDA_smna_max,0.011649710158171296
EDA_mean_diff,0.011484199714191887
z_TEMP_slope,0.011154645442824825
TEMP_min,0.011015669677388878
EDA_mean,0.009520859801016602
ACC_y_std,0.008993015237039676
EDA_max,0.004945769698102048
EDA_std,0.004627579481006498
SRI,0.004554547391763766
ACC_x_max,0.004360717023729972
TEMP_mean_diff,0.0031201805354379975
BVP_std,0.001603184934117962
ACC_x_min,0.0011818313668342207
EDA_tonic_std,0.0011258698155928836
net_acc_min,0.0
net_acc_mean,0.0
EDA_smna_min,0.0
EDA_phasic_std,0.0
BVP_max,0.0
ACC_y_max,0.0
ACC_y_min,0.0
ACC_y_mean,0.0
ACC_z_mean,0.0
BVP_min,0.0
ACC_z_min,0.0
ACC_z_max,0.0
BVP_mean,0.0
ACC_x_mean,0.0
gender_ male,0.0
gender_ female,0.0
weight,0.0
height,0.0
age,0.0
TEMP_std,0.0
Resp_mean,0.0
coffee_today_YES,0.0
feel_ill_today_YES,0.0
sport_today_YES,0.0
smoker_NO,0.0
smoker_YES,0.0
z_EDA_tonic_std,0.0
BVP_mean_diff,0.0
net_acc_mean_diff,0.0
PL,0.0
