f1_macro,accuracy,auroc_macro,pr_auc_macro,fold_id,test_subject,model,stage,generalization_gap
1.0,1.0,1.0,1.0,0,10,VotingEnsemble,train,0.29264705882352937
0.7073529411764706,0.8518518518518519,0.9793626852450381,0.9462322233634762,0,10,VotingEnsemble,test,0.29264705882352937
1.0,1.0,1.0,1.0,1,11,VotingEnsemble,train,0.25668449197860965
0.7433155080213903,0.7721518987341772,0.9833928833928834,0.9627763683706839,1,11,VotingEnsemble,test,0.25668449197860965
1.0,1.0,1.0,1.0,2,13,VotingEnsemble,train,0.3895963379109447
0.6104036620890553,0.7721518987341772,0.9033744033744034,0.7644195025902573,2,13,VotingEnsemble,test,0.3895963379109447
1.0,1.0,1.0,1.0,3,14,VotingEnsemble,train,0.540895061728395
0.459104938271605,0.6455696202531646,0.8833501333501333,0.7754034666868432,3,14,VotingEnsemble,test,0.540895061728395
1.0,1.0,1.0,1.0,4,15,VotingEnsemble,train,0.02013605442176869
0.9798639455782313,0.9873417721518988,0.9941724941724942,0.9860093610093609,4,15,VotingEnsemble,test,0.02013605442176869
1.0,1.0,1.0,1.0,5,16,VotingEnsemble,train,0.03357753357753357
0.9664224664224664,0.9746835443037974,0.9993969993969994,0.9979112885770182,5,16,VotingEnsemble,test,0.03357753357753357
1.0,1.0,1.0,1.0,6,17,VotingEnsemble,train,0.6966080739665645
0.30339192603343546,0.35802469135802467,0.6647067529420471,0.5021336037602048,6,17,VotingEnsemble,test,0.6966080739665645
1.0,1.0,1.0,1.0,7,2,VotingEnsemble,train,0.3173456484688547
0.6826543515311453,0.8157894736842105,0.9520357239869436,0.9264130484982579,7,2,VotingEnsemble,test,0.3173456484688547
1.0,1.0,1.0,1.0,8,3,VotingEnsemble,train,0.3515651874785002
0.6484348125214998,0.6493506493506493,0.8617119546334816,0.8136702406828561,8,3,VotingEnsemble,test,0.3515651874785002
1.0,1.0,1.0,1.0,9,4,VotingEnsemble,train,0.38969638242894067
0.6103036175710593,0.8157894736842105,0.8729523412450243,0.7423161733125347,9,4,VotingEnsemble,test,0.38969638242894067
1.0,1.0,1.0,1.0,10,5,VotingEnsemble,train,0.2822451317296678
0.7177548682703322,0.8607594936708861,0.9873240454635804,0.9702533312803476,10,5,VotingEnsemble,test,0.2822451317296678
1.0,1.0,1.0,1.0,11,6,VotingEnsemble,train,0.10480468218320416
0.8951953178167958,0.9102564102564102,0.9765977374951733,0.9257273493153564,11,6,VotingEnsemble,test,0.10480468218320416
1.0,1.0,1.0,1.0,12,7,VotingEnsemble,train,0.1851010101010101
0.8148989898989899,0.8717948717948718,0.9096623606378343,0.8315123660070952,12,7,VotingEnsemble,test,0.1851010101010101
1.0,1.0,1.0,1.0,13,8,VotingEnsemble,train,0.16296296296296298
0.837037037037037,0.8987341772151899,0.969020469020469,0.9406440204334041,13,8,VotingEnsemble,test,0.16296296296296298
1.0,1.0,1.0,1.0,14,9,VotingEnsemble,train,0.0
1.0,1.0,1.0,1.0,14,9,VotingEnsemble,test,0.0
